FIPSCode,TotalCases,TotalDeaths,DeathRate,stateAbbrev,countyName,area,violentCrimeRate,percentUnder18,percentBlack,percentAmericanIndianAlaskanNative,percentAsian,percentNativeHawaiianOtherPacificIslander,percentHispanic,percentNonHispanicWhite,percentNoVehicle,percentOver65,totalPopulation,percentFemale,percentFairPoorHealth,averagePhysicallyUnhealthyDays,percentLowBirthweight,percentSmokers,percentAdultsObese,percentPhysicallyInactive,percentExerciseAccessOpportunities,percentExcessiveDrinking,chlamydiaRate,teenBirthRate,percentUninsured,primaryCarePhysiciansRate,percentVaccinated,lifeExpectancy,percentDiabeticAdults,percentInsufficientSleep,percentDisabled,averageMentallyUnhealthyDays,preventableHospitalizationRate,percentUnemployedCHR,percentDriveAloneToWork,medianHouseholdIncome,perCapitaIncome,percentBelowPoverty,percentUnemployedCDC,icuBedCount,waterViolationPresence,percentFoodInsecure,percentHealthyFoodsLimitedAccess,percentChildrenInPoverty,percentSingleParentHouseholdsCHR,percentHomeowners,percentRural,percentMultiUnitHousing,percentOvercrowding,highSchoolGraduationRate,percentSomeCollege,totalVotes_D,totalVotes_Other,totalVotes_R,proportionVotesWon_D,proportionVotesWon_Other,proportionVotesWon_R,winner,priceRecordedDate,medianHousingPrice,CasesPerCapita,DeathsPerCapita
01001,6577,99,0.0150524555268359,AL,Autauga,594.4461199,272.2822201,23.67403464,19.34317728,0.480207191,1.224798115,0.111508786,2.965773997,74.30801604,4.9,15.56266974,55869,51.44871495,20.88298733,4.743888867,8.61952862,18.08155718,33.3,34.7,69.13012406,15.02603126,407.2,25.28492716,8.721685951,45.0418,41,76.87947717,11.1,35.90540606,18.4,4.654031397,7108,3.629078861,86.52366137,59338,26168,12.3,5.6,6,FALSE,13.2,11.991125,19.3,26.24267908,74.89462467,42.00216232,4.6,1.2,90,62.00997368,7503,350,19838,0.271,0.0126,0.7164,R,2019-12-31,207028,0.117721813528075,0.00177200236266982
01003,20487,301,0.0146922438619612,AL,Baldwin,1589.807425,203.6603963,21.60791113,8.783975929,0.772399116,1.150342626,0.066965719,4.646778765,83.11133739,3.1,20.44334975,223234,51.53837686,17.50913436,4.224519202,8.345003183,17.4890326,31,26.5,73.71354895,17.9583101,325,27.88069221,11.33340447,72.89727,44,78.45025837,10.7,33.30586814,13.9,4.304056469,4041,3.615382156,84.28243273,57588,28069,13,6.3,51,FALSE,11.6,5.424426597,13.9,24.13960145,73.61934319,42.27909911,18.3,1.3,86.3615768,67.37161982,24578,1229,83544,0.2248,0.0112,0.764,R,2019-12-31,221568,0.0917736545508301,0.00134836091276418
01005,2226,54,0.0242587601078167,AL,Barbour,884.875776,414.2778607,20.86732848,48.03263534,0.659137495,0.45416181,0.184880029,4.276355452,45.64125236,9.7,19.4204413,24686,47.21675174,29.59180171,5.430278859,11.47455867,21.99998453,41.7,23.5,53.16676986,12.84401555,716.3,40.87081536,12.24279246,31.65809,37,75.34193493,17.6,38.56316713,21.5,5.185594413,6209,5.171384211,83.36847037,34382,17249,26.4,12.8,5,FALSE,22,10.73966657,43.9,56.60342605,61.39777923,67.7896347,1.5,1.7,81.41025641,34.85764862,4816,68,5622,0.4584,0.0065,0.5351,R,2019-12-31,98539,0.090172567447136,0.002187474682006
01007,2536,60,0.0236593059936909,AL,Bibb,622.5823549,89.34912598,20.47767857,21.12053571,0.4375,0.236607143,0.116071429,2.625,74.58928571,6.3,16.47321429,22394,46.78125,19.43972416,4.591482438,10.30871003,19.11419989,37.6,33.5,16.25136374,15.57004237,339.7,41.69679441,10.20625259,48.52656,38,73.57182028,14.5,38.1488654,14.8,4.551698849,5961,3.971827734,84.91064687,46064,18988,16.5,7.1,0,FALSE,14.3,2.601627008,27.8,28.68923611,75.07309942,68.35260746,2.2,0.3,83.76383764,44.13735343,1986,74,7525,0.2072,0.0077,0.7851,R,2019-12-31,124645,0.1132446190944,0.00267928909529338
01009,6426,131,0.020385932150638,AL,Blount,644.806508,482.6906109,23.15352697,1.462655602,0.653526971,0.319847856,0.121023513,9.571230982,86.8862379,4,18.23651452,57826,50.72614108,21.74529281,4.86080763,7.604562738,19.20867197,33.8,30.3,15.63448589,14.23059383,234.4,33.5345953,13.36075949,22.40877,39,74.1458259,17,35.94501042,14.9,4.891454668,4060,3.511157322,86.17836202,50412,21033,16.5,6,6,FALSE,10.7,2.880149823,18,28.56182796,78.62621359,89.95150204,0.8,1.9,93.46879536,53.36107325,2640,209,24711,0.0958,0.0076,0.8966,R,2019-12-31,239403,0.111126482896967,0.0022654169404766
01011,1204,39,0.0323920265780731,AL,Bullock,622.8053585,311.0273327,21.07910831,69.54034326,0.838429671,0.187413691,0.749654764,7.960149931,21.2172026,17,16.38390215,10101,45.48234366,30.99910185,5.359159343,15.68848759,22.89466401,37.2,24.6,2.501374382,12.09410123,863.3,47.91666667,11.44037612,29.10079,28,73.53089479,23.7,45.02063587,17.6,4.891351043,6632,4.690117253,79.06091371,29267,17909,26.9,13.3,0,FALSE,24.8,19.74335074,68.3,74.78991597,75.53338875,51.37438153,1.1,0.2,70.24793388,34.97609415,3446,19,1146,0.7473,0.0041,0.2485,D,2019-12-31,63372,0.119196119196119,0.00386100386100386
01013,2097,66,0.0314735336194564,AL,Butler,776.8280471,581.5840052,22.24593496,44.55792683,0.37601626,1.316056911,0.050813008,1.509146342,51.2550813,7,20.29979675,19448,53.42987805,27.91067318,5.400806197,12.68028846,21.76533496,43.3,39.5,48.57974889,11.85740343,761.7,37.88610039,11.18600954,25.22068,35,72.9183092,19.2,41.9110839,19.4,5.340750195,9203,4.790217635,83.83318316,37365,19011,25.7,9.8,7,TRUE,20.6,2.926121931,36.3,52.71283635,69.94633274,71.23215735,1.7,1.6,81.58995816,41.67875648,3965,59,5458,0.4182,0.0062,0.5756,R,2019-12-31,71988,0.10782599753188,0.00339366515837104
01015,14206,304,0.0213994087005491,AL,Calhoun,605.8887948,756.0665443,21.60977275,20.85021483,0.539916169,0.96432353,0.110258407,3.910673189,72.02499191,6.3,17.71747596,113605,51.94658593,23.10773322,4.88037674,9.161373668,20.61256038,38.5,31.7,47.7212158,13.84223015,654.6,33.53461699,11.92916752,63.62876,38,73.03910859,17.5,41.31434398,20.4,4.816072288,6581,4.652832159,84.80921374,45400,22231,19.6,11.7,24,FALSE,15.7,9.178566583,26.5,40.19194475,69.47349721,33.69682556,3.7,1.5,92.36804565,59.24398864,15216,553,35101,0.2991,0.0109,0.69,R,2019-12-31,116842,0.125047313058404,0.0026759385590423
01017,3485,116,0.0332855093256815,AL,Chambers,596.5311116,528.9997362,20.80023799,39.56567009,0.306410829,1.326788636,0.044622936,2.561356537,55.23129555,8,19.52104715,33254,52.12553919,23.9954736,4.941178357,12.21374046,19.39292705,40.1,30.1,61.86467923,12.74573462,611,45.44100119,11.93807681,41.52701,42,74.29107603,19.9,37.26657479,17.7,4.873580766,5622,3.908091123,85.25284801,39917,21532,20.3,7.5,0,FALSE,17.9,10.32855828,30.7,46.55544369,67.7641314,49.14803449,3.5,4,86.23853211,48.46033403,6365,141,8753,0.4171,0.0092,0.5736,R,2019-12-31,69400,0.10479942262585,0.00348830215913875
01019,1804,43,0.0238359201773836,AL,Cherokee,553.719701,330.438792,19.16871543,4.240934235,0.660725261,0.338045483,0.030731408,1.621081746,91.65642286,3.5,22.97172711,26196,50.46097111,20.6984706,4.775614101,8.272506083,17.49867379,35,31.3,33.42952788,14.10656285,321,36.56876094,11.17264992,38.67425,41,73.99883376,15.2,35.35507081,21.4,4.711270423,5521,3.570813974,83.11446593,42132,22544,16.4,5.9,0,FALSE,12.5,0.2211124,24.7,23.77874929,78.95530832,85.73627304,1.9,1.5,94.9044586,51.83621006,1624,82,10583,0.1322,0.0067,0.8612,R,2019-12-31,122418,0.0688654756451367,0.00164147198045503
